No,Formula,O-2p,Classify
1,CaCrO4,0.752,3
2,RbLiCrO4,0.738,3
3,Rb2CrO4,0.728,3
4,Li3CuO3,0.728,2
5,CrCdO4,0.716,1
6,Cs2CrO4,0.7,3
7,LiAgO2,0.696,2
8,CaHgO2,0.682,1
9,Na2HgO2,0.676,1
10,SrHgO2,0.66,1
11,Ca(CuO2)2,0.644,2
12,K2HgO2,0.64,1
13,CaCdO2,0.64,1
14,Rb2HgO2,0.634,1
15,NaAgO2,0.622,2
16,BaHgO2,0.618,1
17,CdBiO3,0.616,0
18,Cs2HgO2,0.616,1
19,Ba2BiSbO6,0.608,0
20,LiCuO2,0.604,2
21,Ca(AgO2)2,0.604,2
22,SrBiO3,0.602,0
23,HgO,0.602,1
24,Sr4Cu2O7,0.594,2
25,As2PbO6,0.59,0
26,ZnO,0.588,1
27,Zn2PtO4,0.588,1
28,NaCuO2,0.584,2
29,CsAgO2,0.58,2
30,KAgO2,0.58,2
31,Sb2PbO6,0.578,0
32,Li3AuO3,0.576,2
33,Na3AuO3,0.564,2
34,Ba4PdO6,0.564,2
35,Ag2BiO3,0.56,0
36,Mg(CuO2)2,0.558,2
37,RbAgO2,0.556,2
38,CsAgO,0.552,1
39,NaBiO2,0.552,0
40,CsCuO2,0.548,2
41,AsAuO4,0.548,2
42,MoPbO4,0.544,0
43,RbAgO,0.54,1
44,Sr4PdO6,0.54,2
45,KCuO2,0.54,2
46,Sr5(AuO4)2,0.536,2
47,Ca4PdO6,0.536,2
48,KAuO2,0.532,2
49,Na3AuO2,0.528,1
50,Au2O3,0.527,2
51,NaAuO2,0.526,2
52,Rb5Au3O2,0.52,2
53,RbAuO2,0.52,2
54,CsAuO2,0.52,2
55,Ba4PtO6,0.516,2
56,Li5AuO4,0.516,2
57,Li2PdO3,0.514,2
58,KNa2AuO2,0.512,1
59,CsK2AuO2,0.502,1
60,CdAuO2,0.5,1
